overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
5.0,,True,"01 11, 2018",A1VFHMUY0RWN18,0374300216,{'Format:': ' Board book'},booklover,For a beginning reader.  A gift.,Five Stars,1515628800,
5.0,,True,"01 8, 2018",A2VXBQF6365CHI,0374300216,{'Format:': ' Board book'},Cac,Adorable board book to be shared and loved by toddlers and their care-givers.,Adorable,1515369600,
5.0,,True,"01 4, 2018",A2C1QWFTBVV1IU,0374300216,{'Format:': ' Board book'},Christine M. Wilson,boby loves it...,cute book,1515024000,
5.0,,True,"01 2, 2018",AW83WPIVPDNPS,0374300216,{'Format:': ' Board book'},Linda,My granddaughter is only 10 months old and loves this book!,Five Stars,1514851200,
5.0,,True,"12 31, 2017",A2EIYOQKQQHW9F,0374300216,{'Format:': ' Board book'},Lois S.,Perfect gift,Five Stars,1514678400,
5.0,,True,"12 28, 2017",A3I6J5B60JF5UP,0374300216,{'Format:': ' Board book'},Deb Preston,adorable book and good quality,Five Stars,1514419200,
5.0,,True,"12 27, 2017",A1FDGSHWJ5BWJX,0374300216,{'Format:': ' Board book'},DiL7,Grandson loved it.,Five Stars,1514332800,
5.0,,True,"12 26, 2017",AM07F897VBP1G,0374300216,{'Format:': ' Board book'},Diane Kell,cute,Five Stars,1514246400,
5.0,,True,"12 23, 2017",A1RHRND19MTMIL,0374300216,{'Format:': ' Board book'},Pat,Sweet book for childrfen,Five Stars,1513987200,
5.0,,True,"12 22, 2017",A3BPOB8LCLM0IG,0374300216,{'Format:': ' Board book'},Irene,I love this story and my grand daughter loves to hear it before going to bed.,Five Stars,1513900800,
5.0,,True,"12 18, 2017",A1H1TMLSEXO3GU,0374300216,{'Format:': ' Board book'},J. L. Bond,is a Christmas gift for my grandson but sure he is going to love it,... for my grandson but sure he is going to love,1513555200,
5.0,,True,"12 18, 2017",A4P2NRFPZHN72,0374300216,{'Format:': ' Hardcover'},Roadent,Ordered this book for grandchild.  Looking forward to many happy hours of reading together!,Looking forward to many happy hours of reading together,1513555200,
4.0,,True,"12 18, 2017",A2QL9A9KYLCVVG,0374300216,{'Format:': ' Board book'},Amazon Customer,"Priced well, delivered on time and kid likes it",Four Stars,1513555200,
5.0,,False,"12 7, 2017",A1JEEZJYLNYD0Z,0374300216,{'Format:': ' Board book'},Teresa R.,Beautiful little book! Great for kids! I had it in 24 hours! Great job!,Five Stars,1512604800,
5.0,,True,"12 5, 2017",A1L971CPQG6HFP,0374300216,{'Format:': ' Board book'},onespoons,Adorable book with beautiful illustrations.,Can't wait to read this to my 2 year old.,1512432000,
1.0,,False,"12 3, 2017",AV727S21MQ8IB,0374300216,{'Format:': ' Board book'},Kikitastrophe,"Received as a shower gift from a friend. The art is adorable and it is a nice size board book, so seemed harmless enough. However, when you read the story about animals kissing goodnight, there is a bit too much sexual innuendo. We found this book unbearable to read and tossed it.","Incredibly Creepy, DO NOT BUY!",1512259200,
1.0,,True,"11 27, 2017",ASI1JZXBBYW83,0374300216,{'Format:': ' Board book'},Cherib,Came damaged,One Star,1511740800,
5.0,,False,"11 27, 2017",A20E63TZKVQF3V,0374300216,{'Format:': ' Board book'},Rich Carr,My toddler absolutely never tires of this book. Loves her mommy to read it as a bedtime story.,Awesome book for young children!,1511740800,
5.0,,True,"11 25, 2017",A2A4REO9JL8R0B,0374300216,{'Format:': ' Board book'},P,Bought as a gift,Five Stars,1511568000,
5.0,,True,"11 23, 2017",A3ALHIAGCSNGSB,0374300216,{'Format:': ' Board book'},chipman,We read it to our grandson. Nice story book.,Fun for child,1511395200,
5.0,,True,"11 3, 2017",A2ZAN313QAE6OE,0374300216,{'Format:': ' Board book'},martino,Little Xavier loves this bedtime story.,Sweet storyline,1509667200,
4.0,,True,"11 3, 2017",AY56Z04LJQFHM,0374300216,{'Format:': ' Board book'},lizzy sparks ,love the story it was cute so was the illustrations,Four Stars,1509667200,
5.0,,True,"11 1, 2017",A1O57J6D6RBY30,0374300216,{'Format:': ' Hardcover'},hae moon jung,good,Five Stars,1509494400,
4.0,,True,"10 30, 2017",A1MN2SLJEF747R,0374300216,{'Format:': ' Board book'},DeeDee Cee,"This is a cute book and a great vocabulary builder.
The major character is a little girl and if you think
about the title it kind of makes sense. However,
I find this a little bit limiting because at this age
boys are not adverse to Mommies kissing them
goodnight. It would have been great if there had been a boy and a girl having this story read to
both of them. The book does have merit with its
loving subject matter.",Cute Story !,1509321600,
5.0,,True,"10 26, 2017",A15D483WSVWBYX,0374300216,{'Format:': ' Board book'},Amazon Customer,Cute little book!,Five Stars,1508976000,
5.0,,True,"10 24, 2017",A3EO8VQ8WT2IGJ,0374300216,{'Format:': ' Board book'},W. Malnicof,Love it,Five Stars,1508803200,
1.0,,True,"10 23, 2017",A2BSMTUS0OGPRC,0374300216,{'Format:': ' Board book'},Cat,"I have bought several children's books that I read to my 11-month-old daughter and unfortunately, this is one of them. My daughter does not like this book at all. I have tried to read it several times and she loses interest immediately. She LOVES books and doesn't lose interest in her favorites. The illustrations are okay, but the ""rhymes"" (if you want to call them that) do not make any sense whatsoever. They are completely nonsensical. If I'm going to read my child a book, I want it to be something she will grow to understand, as that's an important part of reading and comprehension. Another thing I really disliked: The author appears to have overstepped some important boundaries by mentioning mothers and babies kissing ""long and slow."" (And so on.) That just weirded me out. This is not how I kiss my daughter, and I'm sure it's not the way most parents kiss their children. I'd like to think that isn't what the author intended, but it comes off that way and because of that, is inappropriate. My daughter doesn't like this book, I don't like it, and now it's pretty much a book we only flip through once in awhile (without reading). The illustrations are the only redeeming quality. You win some, you lose some, and this one was a loser. Not recommended.","Nonsensical, Inappropriate, and Not Recommended",1508716800,
5.0,,True,"10 15, 2017",AOBAYE9287EOA,0374300216,{'Format:': ' Board book'},Celgibs,"This has to be one of my favorite stories to read the kids right now! Its so cute and I like the different sounds/words you get to read to the kids, makes it extra fun.",This has to be one of my favorite stories to read the kids right now,1508025600,
5.0,,False,"10 11, 2017",ANUXJB5UWXNM7,0374300216,{'Format:': ' Board book'},Renae ,Cute book,Five Stars,1507680000,
5.0,,True,"10 9, 2017",A1JUQ6WMTH8NK4,0374300216,{'Format:': ' Board book'},J. Allen,"This book is really cute! I bought it for my daughter to read to my granddaughter,",Five Stars,1507507200,
5.0,,True,"10 2, 2017",A2FXBRT6109788,0374300216,{'Format:': ' Board book'},bert hambleton,excellent service and just what I wanted,Five Stars,1506902400,
4.0,,True,"10 1, 2017",A2N2KJH88J7E49,0374300216,{'Format:': ' Board book'},I love Amazon,"If you read this right it's a great book. Otherwise, it sounds a little awkward and maybe even slightly inappropriate. Please don't read this with a child whom has experienced sexual abuse.",Not for every child,1506816000,
5.0,,False,"09 29, 2017",A3DLMV5UAT25K,0374300216,{'Format:': ' Board book'},Stephanie V.,"This is a nice little book, not too wordy and the pictures of very colorful. Just right for my 2 year old. She loves that each picture has a ""mamma"" and a baby.  I like that the story is not too wordy - little ones don't like to listen to wordy stories yet.  The book is cardboard pages so I don't worry about ripping.",This is a nice little book,1506643200,
5.0,,False,"09 27, 2017",A1E7KFW9JEWHZS,0374300216,{'Format:': ' Board book'},Katherine Maddox,"A really fun book for parents and kids alike with a great rhyming flow, tons of interesting animals (some that were ""new"" to our daughter's everyday animal knowledge), and a cute ""refrain"" that has mamma sloth and her cub ""still kissing goodnight"" throughout the book (because they're slow).",Our daughter's current favorite,1506470400,
5.0,,True,"09 26, 2017",A3K2K2ADOI3OCR,0374300216,{'Format:': ' Board book'},TMG rep,Love this good night story for little ones!,Wonderful going to bed story,1506384000,
5.0,,True,"09 25, 2017",A1DUHOOO9X4C09,0374300216,{'Format:': ' Board book'},Chad,you can never go wrong with a good book!,Five Stars,1506297600,
5.0,,True,"09 25, 2017",A3BPB7823FZGU2,0374300216,{'Format:': ' Board book'},Crystal DeKalb,Great..the first book was damaged..the company graciously sent me another free of charge.  My granddaughter LOVES these books!,Great book for my 3 year old!,1506297600,
1.0,,True,"09 24, 2017",A1WHPRBKGE64ZS,0374300216,{'Format:': ' Board book'},Kaelen Corona,"I received the book in terrible condition. It was part of a birthday gift, so now I am just giving this to my niece privately instead of in her birthday gift.",I received the book in terrible condition. It was part of a birthday gift,1506211200,['https://images-na.ssl-images-amazon.com/images/I/71oZO00Nk+L._SY88.jpg']
4.0,,True,"09 24, 2017",AX68LLUFZDJYG,0374300216,{'Format:': ' Board book'},Amazon Customer,One of our go to books for first time parents!,Four Stars,1506211200,
5.0,,True,"09 21, 2017",A167XSCCB4V099,0374300216,{'Format:': ' Board book'},PennySC,Bought this to go along with the Elephant Lovey I bought my grandson,Five Stars,1505952000,
2.0,3,True,"09 17, 2017",A3OBAWQLETC0RI,0374300216,{'Format:': ' Board book'},placasse,I didn't care for this book. The rhymes do not flow well. It does not hold my granddaughters attention well and she loves books.,I didn't care for this book. The rhymes do ...,1505606400,
5.0,,True,"09 17, 2017",A17191V5RSYVFY,0374300216,{'Format:': ' Board book'},Laura Bodin,Grandkids liked book,Five Stars,1505606400,
5.0,,True,"09 14, 2017",A2LO7751I1XITV,0374300216,{'Format:': ' Board book'},Nick Frey,One of our favorite books! Definitely glad we added it to our collection!,Love this book!,1505347200,
5.0,,False,"09 12, 2017",A1JX13D6O31UC5,0374300216,{'Format:': ' Board book'},Brandy Call,Cute book,Five Stars,1505174400,
5.0,,True,"09 9, 2017",A21LD3RQL9OVGM,0374300216,{'Format:': ' Board book'},Jul Hartman,Thank you,Five Stars,1504915200,
5.0,,True,"09 7, 2017",AMH6NWP1M5B50,0374300216,{'Format:': ' Board book'},James F Gwaltney,Great kids book.,Great kids book.,1504742400,
5.0,,True,"09 6, 2017",A1NI9UUJH4544Y,0374300216,{'Format:': ' Board book'},Concetta Schlau,So cute,Five Stars,1504656000,
5.0,,True,"09 5, 2017",A1UXLV1RZD86RV,0374300216,{'Format:': ' Board book'},Monique R.,"We absolutely love this book (fianc and I), we're due in October, but he reads this to my baby bump every night and it always calms the baby down. The first time he read it to our little one I balled like a baby.","Baby isn't here yet, but we love reading this to my baby bump",1504569600,
5.0,,True,"09 1, 2017",A321JQQF0NL3DH,0374300216,{'Format:': ' Board book'},mjs,I love this book for going to sleep with the kids.,Five Stars,1504224000,
5.0,,True,"08 29, 2017",A25YDBWQC6WT6P,0374300216,{'Format:': ' Board book'},karin starr,I love it!,Five Stars,1503964800,
5.0,,False,"08 27, 2017",ABE9YEMZ2XWD,0374300216,{'Format:': ' Board book'},Silenze,Sweet,Five Stars,1503792000,
5.0,,True,"08 27, 2017",A307AVAV2TC83I,0374300216,{'Format:': ' Board book'},Kathy Weick,This book is so cute. My grandson loves it. I love the pictures and so does he. It's perfect for settling down for the night.,I love the pictures and so does he,1503792000,
5.0,,True,"08 26, 2017",AUY6OODYIYIG1,0374300216,{'Format:': ' Board book'},HAPPY SK,My boy love it.,Five Stars,1503705600,
5.0,,True,"08 25, 2017",A21FUL613BZ4YG,0374300216,{'Format:': ' Board book'},Kay,Such a cute book!,Five Stars,1503619200,
5.0,,False,"08 25, 2017",AD790BP0XBDQT,0374300216,{'Format:': ' Board book'},Seabreeze64,"This is one of our favorites. One of the funniest things that happens with my two-year-old granddaughter is that every time she sees the mama and baby sloth hanging upside down, she thinks the book is upside down so she takes it out of my hand and fixes it so it's right side up. Until the next page! Very enjoyable.",Sweet book!,1503619200,
5.0,,False,"08 18, 2017",A19XDA7XJRNY9E,0374300216,{'Format:': ' Board book'},Books N.Moore,Wonderful book that makes you and the kids feel good about life!  The drawings are beautiful and the story is wonderful.,Wonderful book that makes you and the kids feel good ...,1503014400,
5.0,,True,"08 15, 2017",A2REAW5QFQ1W8U,0374300216,{'Format:': ' Board book'},Amazon Customer,Gift,Five Stars,1502755200,
5.0,,True,"08 14, 2017",A3BD4B33BLGBCW,0374300216,{'Format:': ' Board book'},Pollock1,Well constructed.  Beautiful graphics. Good story line.,Good night book.,1502668800,
5.0,,True,"08 8, 2017",A29R7G04RMYALE,0374300216,{'Format:': ' Board book'},Sherwood,Love the book!!,Five Stars,1502150400,
5.0,,True,"08 6, 2017",A3Q52RAEZ7Z3CW,0374300216,{'Format:': ' Board book'},Elaine,Cute,Five Stars,1501977600,
5.0,,True,"07 31, 2017",A2N5KQKR6KRBQF,0374300216,{'Format:': ' Board book'},Amazon Customer,This is a very cute book that goes through what happens if animals kissed like we kissed. My toddler can learn about a lot of unique animals. We love it.,... book that goes through what happens if animals kissed like we kissed,1501459200,
5.0,,True,"07 25, 2017",ANSJXVOI26UM8,0374300216,{'Format:': ' Board book'},Amazon Customer,Sweet book.,Child loves,1500940800,
5.0,,True,"07 24, 2017",A2965YPG4U0PDJ,0374300216,{'Format:': ' Board book'},Ryan,Cute book! Very good quality and I can't wait to use it when my son is old enough.,Cute book,1500854400,
5.0,,True,"07 22, 2017",A1OHPC40M3CQHW,0374300216,{'Format:': ' Board book'},God Loves You!,Good book!,Good book!,1500681600,
5.0,,True,"07 21, 2017",A2TS4EOYWR44RF,0374300216,{'Format:': ' Board book'},MoMo,Classic kid's book recommended by my daughter and grandson.,classic kid's book,1500595200,
5.0,,True,"07 20, 2017",ADWGLUF3RDUE4,0374300216,{'Format:': ' Board book'},Marilyn,Love the book.  Very cute.,Five Stars,1500508800,
5.0,,True,"07 20, 2017",A2MMZQ4AFU6AWB,0374300216,{'Format:': ' Board book'},Alicia,"This is my daughter's absolute FAVORITE book (she's almost 2). I'm expecting our second child, so I bought a second copy for that baby (it's the one thing I don't expect my daughter to share, and that's ok). I also bought a copy for my friend who is expecting her first baby. I hope her kid likes it as much as mine does.",This is my daughter's absolute FAVORITE book (she's almost 2),1500508800,
4.0,,True,"07 11, 2017",A1F69CSFV1GHPP,0374300216,{'Format:': ' Board book'},Mrs. Apricot,"My daughter likes it, and so do I!  Adorable story, and one of my favorites to read her.",Cute story!,1499731200,
5.0,,True,"07 6, 2017",A19QV5UL2PHJDE,0374300216,{'Format:': ' Board book'},Plaid Cherokee,Great story and good author!,Five Stars,1499299200,
5.0,,True,"06 30, 2017",A1FRALTB8J9S7H,0374300216,{'Format:': ' Board book'},Sly,Love Love Love this book. I have been reading this book every night to my newborn and now my son is 6 months and he still loves this book. The illustrations are great and I bought other books illustrated by David Walker just for that reason. Very happy with purchase. Story line is very cute and love the rhyming.,Love Love Love this book,1498780800,
5.0,,True,"06 26, 2017",A17S6HVUBG01CL,0374300216,{'Format:': ' Board book'},Mechele Fillman,"friend loves it, it was a gift",Five Stars,1498435200,
5.0,,True,"06 25, 2017",A5W2WJNQ2XSO5,0374300216,{'Format:': ' Board book'},R&amp;B,Such a cute book! Great for a baby shower gift!,Adorable!,1498348800,
5.0,,True,"06 21, 2017",A3AQ4RHIWGPVJA,0374300216,{'Format:': ' Board book'},Kearsa,My nephew loved it,Five Stars,1498003200,
4.0,,True,"06 20, 2017",A295HW4690C6OG,0374300216,{'Format:': ' Board book'},Donald Tolley,Beautiful pictures and a lovely story.,Four Stars,1497916800,
5.0,,True,"06 20, 2017",A1CGMWZBC6GIKW,0374300216,{'Format:': ' Board book'},Claire,Bought as a baby shower gift. Cute story to read to kids,Cute story for little kids,1497916800,
5.0,,True,"06 14, 2017",A5V8TKWM565S2,0374300216,{'Format:': ' Board book'},Chris V.,"Cute book, can't wait to read it to my son",Five Stars,1497398400,
5.0,,True,"06 12, 2017",AMJO7E6AH9HH7,0374300216,{'Format:': ' Board book'},George Scott,Very good bedtime book.,Five Stars,1497225600,
5.0,,True,"06 9, 2017",A3LPZK2FHCAWAE,0374300216,{'Format:': ' Board book'},Raymond A.,great,Five Stars,1496966400,
5.0,,True,"06 7, 2017",A38D7Z1DKLN8RM,0374300216,{'Format:': ' Board book'},rebecca,This is another book we read every night before bed. Very cute and great pictures. Also recommend Time For Bed,Sweet bedtime book,1496793600,
5.0,,True,"06 4, 2017",A3A4D76762C8EB,0374300216,{'Format:': ' Board book'},Amazon Customer,Baby will love this,Five Stars,1496534400,
5.0,,True,"06 4, 2017",A2JYVKIRGO1GE2,0374300216,{'Format:': ' Board book'},Sue,The boys love books....so nice to see them readily sit down and enjoy the pictures.  Great bedtime book!,Nice to add to library.,1496534400,
5.0,,True,"06 3, 2017",A2VQIOBESB7G8L,0374300216,{'Format:': ' Board book'},Amanda B.,Cute book,Five Stars,1496448000,
5.0,,True,"06 2, 2017",A2V0LXYFKUGJXK,0374300216,{'Format:': ' Board book'},Beth,Very cute book!,Five Stars,1496361600,
5.0,,True,"06 2, 2017",AWKOVUA8WF0FD,0374300216,{'Format:': ' Board book'},leann brake,great book!,Five Stars,1496361600,
5.0,,True,"05 31, 2017",A2Z14MEQB8RSVR,0374300216,{'Format:': ' Board book'},Marguerite,This is a very adorable book. I love the sweet way they rhyme. It is a great book to buy anyone having a new baby or for a baby shower in general.  The book quality is nice.,Soooo sweet!,1496188800,
5.0,,True,"05 16, 2017",A3VNO7IICFPPAX,0374300216,{'Format:': ' Board book'},Jessica,Awesome book,My daughter loves this book,1494892800,
5.0,,False,"05 10, 2017",AVVTZWI32EDP8,0374300216,{'Format:': ' Board book'},pk,"My daughter said that my great granddaughter, 6 years old, really enjoys this book and story. I sent the Choo Choo Express Plush Elephant - Humphrey with it.",my daughter said:,1494374400,
5.0,2,True,"05 9, 2017",A3N3HVE992XLEH,0374300216,{'Format:': ' Board book'},5bobbi9,"Very sweet illustrations and story.  I used this for a benefit auction package containing a book, stuffed elephant, and rag blanket.  Awesome.",Sweet book,1494288000,
5.0,,True,"05 8, 2017",A1E8DMKPZY05LJ,0374300216,{'Format:': ' Board book'},SM,My lo loves books more than she likes dolls and soft toys and I love reading this book to my lo. The pictures are so adorable and the quality is outstanding. I'm so glad I bought this book.,The most cutest and entertaining bedtime books ever!,1494201600,
5.0,,True,"05 7, 2017",A35O8OZX91OG28,0374300216,{'Format:': ' Board book'},Kellerel,Grand baby will love it with matching stuffed animal. Bought for her 1st birthday party and she will love it.,So cute,1494115200,
5.0,,False,"05 4, 2017",A1TPW86OHXTXFC,0374300216,{'Format:': ' Board book'},prisrob,"How do you say goidnight to your parents? Do you read books and say goodnight, love you?

The author, Ann Whitford Paul, has written a lovely book about goodnight rituals. The little girl wonders how to giraffes saybgoodnight, sloths say goodnight, theyvare so slow, and any animal you can think of. My granddaughter has 3 books read to her, a little talking, then a big hug and kiss goodnight. This is after brushing her teeth and flossing.  It is a wonderful thing to wonder how everyone says goodnight.

Adults will enjoy reading this book to their children. The family can discuss their goodnight rituals, and how it makes them feel. Children will,have many questions. The illustrations by David Walker are bright, vivid and colorful. They depict the rituals and the goodnight times of people and animals. Thus is a lovely book for all to read, and to havebit as part of a goodnight ritual.

Recommended. prisrob 05-04-17","Smooch, Smooch, Hug",1493856000,
5.0,,True,"05 1, 2017",A1RASNLU6GP7I2,0374300216,{'Format:': ' Board book'},Dawn in Phoenix,"what a wonderful story, I read it to my grandkids",Five Stars,1493596800,
5.0,,True,"04 27, 2017",A2K73PMM1ML9XP,0374300216,{'Format:': ' Board book'},Jessica Brennan,Such a great book!  Highly recommend it!  This arrived on time.,Highly recommend!,1493251200,
5.0,,False,"04 26, 2017",A2KLUHJF2XTQAU,0374300216,{'Format:': ' Board book'},Kelly,This is such a cute bedtime story!,Five Stars,1493164800,
5.0,,True,"04 26, 2017",A119917I6JIYJ,0374300216,{'Format:': ' Board book'},Amazon Customer,Good children's book.  Bought this for a new born baby boy.,Five Stars,1493164800,
2.0,,True,"04 19, 2017",AXOG2TKVNVJ9B,0374300216,{'Format:': ' Paperback'},vickilou,"I read thid book
 to my grandaughter in front of her mother..Were parts that none of us understood... there's a dark side  of this book",don't get it....,1492560000,
5.0,,True,"04 17, 2017",A1UFS9818GTJEM,0374300216,{'Format:': ' Board book'},englert,perfect for the new baby boy whose room is done in Elephants,Five Stars,1492387200,
5.0,,True,"04 16, 2017",A1NFW8RSPTVZGB,0374300216,{'Format:': ' Board book'},Kanner,Great children's book.,Story time,1492300800,
5.0,,True,"04 16, 2017",A1LFK7TJVJB1SC,0374300216,{'Format:': ' Board book'},Trying to cancel this card making,She love it,Five Stars,1492300800,
5.0,,True,"04 15, 2017",ARCIKL3TBN1MW,0374300216,{'Format:': ' Board book'},Fishing Texas,My son loves this book!,Bedtime Story,1492214400,
