Id,neg,neu,pos,compound,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,target_compound,rank,title
1310,0.0,0.0,1.0,0.4926,4.0,True,"06 20, 2015",A1GHSOH846N6OT,014242286X,{'Format:': ' Paperback'},Richard Blair/Jennifer Blair,Thanks!,Four Stars,1434758400,,,0.5,21.0,Counting by 7s
1425,0.0,0.838,0.162,0.6997,5.0,True,"03 14, 2014",A1CD4IHQBARZOE,014242286X,{'Format:': ' Hardcover'},Vm,"Son is an avid reader, and 10 years old.  This was a soulful story that seemed to touch him.  He could not put it down when he got it, and really enjoyed it.",Son loved it.,1394755200,,,0.7,21.0,Counting by 7s
1353,0.222,0.421,0.357,0.7003,5.0,True,"12 12, 2014",A2EXIPY3PVHXZE,014242286X,{'Format:': ' Kindle Edition'},jessi,"Every one ...... I recommend this book it is great it made me cry tears of sadness and happiness.
You will like it",Fab,1418342400,,,0.7,21.0,Counting by 7s
1432,0.0,0.814,0.186,0.9001,5.0,True,"02 17, 2014",A3JGPZX9AB7YDH,014242286X,{'Format:': ' Kindle Edition'},C.T.,I read the synopsis. I knew what the book was supposed to be about. And then I read it. Not just one life. This is such a blended story. A story about how people can blend together and become an unconventional family. I found myself laughing out loud because of the delight in this story. Sheer delight.,How can one story touch so many places in your heart?,1392595200,,,0.9,21.0,Counting by 7s
1200,0.0,0.539,0.461,0.8999,5.0,True,"12 27, 2016",AAUF8KJRY4ZLQ,014242286X,{'Format:': ' Kindle Edition'},Joslyne b,Nice story with a happy ending that gives a somewhat offbeat main character a relatable place in her world. Definitely recommend!,Great book for tweens,1482796800,,,0.9,21.0,Counting by 7s
1706,0.113,0.739,0.148,0.2003,5.0,True,"08 1, 2016",AQRZ79Y4SDDZ1,0147510481,{'Format:': ' Kindle Edition'},avery allison,It was thrilling! It was so moving to think about and I cried at some parts. It was a real story.,Loved it!,1470009600,,,0.1,26.0,The War That Saved My Life
1637,0.0,0.656,0.344,0.2732,5.0,True,"01 9, 2017",A3OE0TA7SI2QMK,0147510481,{'Format:': ' Paperback'},Charity C,Well written and very educational.,Five Stars,1483920000,,,0.1,26.0,The War That Saved My Life
1783,0.205,0.492,0.303,0.296,5.0,True,"03 8, 2016",A10QVW3X5QACNP,0147510481,{'Format:': ' Hardcover'},CS,Wonderful story.told during a difficult time in our history,Wonderful story. told during a difficult time in our,1457395200,,,0.3,26.0,The War That Saved My Life
1852,0.0,0.697,0.303,0.2905,5.0,True,"02 20, 2015",A3J018YZ5PJ8X4,0147510481,{'Format:': ' Kindle Edition'},Amazon Customer,This book was touching.  I want a sequel!!!,Five Stars,1424390400,,,0.3,26.0,The War That Saved My Life
1555,0.096,0.741,0.162,0.4939,5.0,True,"10 12, 2017",A3GRW8BO3GCQ3,0147510481,{'Format:': ' Kindle Edition'},L.K. Ras,This was a very well-written story that is appropriate for all ages. It was one of those books that you could easily read in one sitting and be sad to reach the end. The historical content was accurate to the time period and it was easy to get sucked into the story. I loved it.,Great historical fiction for young readers.,1507766400,,,0.5,26.0,The War That Saved My Life
1757,0.0,0.556,0.444,0.4926,5.0,True,"04 25, 2016",A1HPVI3HKMBFBZ,0147510481,{'Format:': ' Hardcover'},Amazon Customer,As described; arrived promptly.  Thanks!,Five Stars,1461542400,,,0.5,26.0,The War That Saved My Life
1505,0.102,0.75,0.148,0.6999,5.0,False,"02 2, 2018",A2XC6SJGZZKWY3,0147510481,{'Format:': ' Kindle Edition'},J. J. Kim,"This book is so special because it takes such hard topics while set realistically during World War II.  I could imagine reading this while teaching kids about WWII, Churchill, and Dunkirk.

The first person narrative is also compelling.  She's not the most reliable narrator but young readers can recognize that.  There's also a lot of difficult topics to discuss regarding a loveless mother and essentially, a foster situation.

Ultimately, horses help with trauma. The end. Okay it had nothing to do with that but I love reading stories with horses in it...",Historical young fiction that deals with trauma,1517529600,,,0.7,26.0,The War That Saved My Life
1782,0.0,0.721,0.279,0.7003,5.0,False,"03 10, 2016",A2MWYNT722VNDA,0147510481,{'Format:': ' Kindle Edition'},Reader Lady,Great story that adds to the growing collection of WWII realistic fiction for children and young adults.,Five Stars,1457568000,,,0.7,26.0,The War That Saved My Life
1772,0.0,0.632,0.368,0.9011,5.0,False,"03 25, 2016",A122YUQ5RE5G30,0147510481,{'Format:': ' Kindle Edition'},Jess,Loved Susan! The book was really deep and a favorite of mine. It was realistic and fiction and the author is very talented.,The war that saved my life,1458864000,,,0.9,26.0,The War That Saved My Life
1731,0.0,0.588,0.412,0.8983,5.0,True,"06 6, 2016",AMEGO8ZJJ6IRQ,0147510481,{'Format:': ' Kindle Edition'},Tamrobis,Couldn't put it down!  Would highly recommend this to middle school students and above. So glad a friend recommended it to me.,Excellent read,1465171200,,,0.9,26.0,The War That Saved My Life
1876,0.048,0.868,0.083,0.1027,3.0,False,"01 1, 2018",A3UO90FEXQNHRD,0147515823,{'Format:': ' Kindle Edition'},Kindle Customer,"This book was an eye opening journey of a young child growing up during the turbulent 60s. The prose at times was sweet, then turned harsh. But throughout the book you will find yourself in the life of  Jacqueline.",Wonderful,1514764800,,,0.1,14.0,Brown Girl Dreaming
2051,0.0,1.0,0.0,0.0,2.0,True,"08 6, 2015",APAGN445MS7AS,0147515823,{'Format:': ' Hardcover'},george dodds,did not see  - not his taste,Two Stars,1438819200,,,0.1,14.0,Brown Girl Dreaming
1880,0.087,0.765,0.148,0.2975,1.0,True,"11 14, 2017",A2BUAPM2WUAI0U,0147515823,{'Format:': ' Hardcover'},mommyso nice,"Purchased this book for a deal, just returned home to see my copy and it is really damaged. It looks like a dog was teething on it. Will have to repurchase a better copy.",Dog teether...,1510617600,,,0.3,14.0,Brown Girl Dreaming
2131,0.0,0.645,0.355,0.296,5.0,True,"02 17, 2015",A24J8365NG0XKB,0147515823,{'Format:': ' Hardcover'},O. Keister,A new American treasure for kids.,Five Stars,1424131200,,,0.3,14.0,Brown Girl Dreaming
1936,0.0,0.864,0.136,0.5023,4.0,False,"01 11, 2017",A32IJ6O8RQIR32,0147515823,{'Format:': ' Paperback'},Lindsay King-Miller,"This is a powerful story of family and childhood during a tumultuous time in American history. As poetry, it's unremarkable, but the narrative is compelling enough to make you keep reading.",This is a powerful story of family and childhood during ...,1484092800,,,0.5,14.0,Brown Girl Dreaming
2112,0.0,0.686,0.314,0.4939,5.0,True,"03 19, 2015",A1VAUSR1UH5U4V,0147515823,{'Format:': ' Kindle Edition'},Don Baker,"Newberry Honor, what else is left to say?",Very good book.,1426723200,,,0.5,14.0,Brown Girl Dreaming
2054,0.056,0.836,0.108,0.7035,4.0,True,"07 29, 2015",A27G2KT5YTNKL7,0147515823,{'Format:': ' Hardcover'},S. Barnes,"Woodson truly is a gifted writer. Her words take you back and you journey with her through her childhood. I struggled with the question, what happened to her dad? She answered that in the thankfuls at the end. The other question I had was never answered but sometimes that is a good thing, maybe the main thing is our questions. Teachers could use this to show that even though kids have trouble reading that doesn't mean they can't write. We all have stories to tell! Inspiring read!",Walk in Someone Else's Shoes,1438128000,3,,0.7,14.0,Brown Girl Dreaming
1988,0.064,0.776,0.16,0.7046,5.0,True,"06 1, 2016",A1EYI27NGNHN1R,0147515823,{'Format:': ' Kindle Edition'},Librarina,"Sometimes poetry anthologies are difficult for me to read straight through, and I certainly still took my time with this one, but it also works as a story and I thoroughly enjoyed reading it. Take your time savoring this one--don't expect a fast-paced thriller. This a captivating, nostalgic journey.",but it also works as a story and I thoroughly enjoyed reading it,1464739200,,,0.7,14.0,Brown Girl Dreaming
2150,0.0,0.738,0.262,0.9001,5.0,True,"01 8, 2015",A9WY93DAAEMVX,0147515823,{'Format:': ' Kindle Edition'},Kindle Customer,Another brilliant piece from Jacqueline Woodson. So many of her earlier works woven through the beauty of these poems. Every teacher of writing can find inspiration for his or her students among these pages.,No words to describe this,1420675200,,,0.9,14.0,Brown Girl Dreaming
2124,0.079,0.709,0.212,0.9008,5.0,False,"02 25, 2015",A3ISIVK5H0BQW0,0147515823,{'Format:': ' Kindle Edition'},SummerMeadow8,"This is amazing. A memoir in verse reflecting over her early childhood. She describes things so vividly it's hard to believe how much time has gone by since those experiences. The descriptions of her struggle with fitting in - geographically, racially, religiously, within her sibling hierarchy - made me ache for her as well as be confident in her spirit to overcome and be great. A book you wish everyone would read.",Amazing read,1424822400,,,0.9,14.0,Brown Girl Dreaming
2267,0.0,1.0,0.0,0.0,3.0,True,"02 13, 2017",A20B2ZOWYM7VV2,0307931528,{'Format:': ' Board book'},The 3 little Umipigs,I thought this was a potty training book but literally it only talks about going from diapers to underwear and nothing else.,I thought this was a potty training book but literally ...,1486944000,5,,0.1,32.0,Big Girl Panties
2235,0.0,1.0,0.0,0.0,1.0,True,"06 24, 2017",A3VOI28VFPMQVS,0307931528,{'Format:': ' Board book'},LJ&#039;s Momma,Doesn't talk about potty training at all,One Star,1498262400,,,0.1,32.0,Big Girl Panties
2309,0.0,0.0,1.0,0.296,5.0,False,"08 28, 2016",AC72SIE4RL6T2,0307931528,{'Format:': ' Board book'},patricia danielson,Ok,Five Stars,1472342400,,,0.3,32.0,Big Girl Panties
2477,0.073,0.807,0.119,0.3071,5.0,True,"09 3, 2014",A3OS764OS57AT3,0307931528,{'Format:': ' Board book'},rebekah s.,"Soooooo obnoxious for an adult but that's potty training, eh? My kid digs this book and I act like its a Shakespearean sonnet when I read it.","Dumb book, but does the job",1409702400,,,0.3,32.0,Big Girl Panties
2266,0.0,0.603,0.397,0.5093,5.0,True,"02 14, 2017",A1W4DM7GGIQHZ8,0307931528,{'Format:': ' Board book'},Kel,My Daughter's favorite potty training book!,We love this book :),1487030400,,,0.5,32.0,Big Girl Panties
2222,0.0,0.378,0.622,0.5093,5.0,True,"10 23, 2017",AAAO3PG49XSCM,0307931528,{'Format:': ' Board book'},Honey,Cute Potty Book!,Five Stars,1508716800,,,0.5,32.0,Big Girl Panties
2335,0.0,0.341,0.659,0.7003,5.0,True,"06 10, 2016",A5E941SI2K5XW,0307931528,{'Format:': ' Board book'},LB,"Hope it works, it's a gift.",Five Stars,1465516800,,,0.7,32.0,Big Girl Panties
2279,0.0,0.608,0.392,0.7003,5.0,True,"12 13, 2016",AFY62LCCJEX7M,0307931528,{'Format:': ' Board book'},momof1baby1manbaby3dogs,"Cute book, baby likes to read when she sits on potty.",Five Stars,1481587200,,,0.7,32.0,Big Girl Panties
2356,0.027,0.824,0.149,0.8996,5.0,True,"02 24, 2016",A3RFUUXRKPFUED,0307931528,{'Format:': ' Board book'},NatalieF,"Out of the handful of potty books I've bought for my 2 year old daughter, this is hands down her favorite one by far!!! She almost has it memorized and we read it every day. It is super cute and easy to read, but not much for actual potty training. No potty involved actually. It is more of an 'ode' to big girl panties. A goodbye to diapers. Though my daughter loves the idea of it, she has yet to want to throw away her own diapers and wear any big girl panties. But I have hope...",Yay for big girl panties!,1456272000,,,0.9,32.0,Big Girl Panties
2450,0.031,0.716,0.253,0.8984,5.0,True,"02 24, 2015",A1FW0MMMBB83HD,0307931528,{'Format:': ' Board book'},El Lynch,"My little one loves this book. She said ""Wead Mummy"". She sits on the potty patiently while I read it to her. I love the hard cover and pages and the illustrations are perfect for her to understand.",Great book for Girls!,1424736000,,,0.9,32.0,Big Girl Panties
2652,0.0,1.0,0.0,0.0,3.0,True,"02 9, 2017",A2VQSZJM91N09K,0312346069,{'Format:': ' Board book'},F,The pictures and text don't grab my baby's attention as much as some other books we have.,Three Stars,1486598400,,,0.1,18.0,On the Night You Were Born
2567,0.0,1.0,0.0,0.0,3.0,True,"01 6, 2018",A3SKTEKS3G5MX5,0312346069,{'Format:': ' Board book'},mary,Doesn't have much context but we keep it.,Three Stars,1515196800,,,0.1,18.0,On the Night You Were Born
3356,0.021,0.931,0.048,0.296,2.0,False,"08 7, 2011",A2VJHJ3VCFBS7V,0312346069,{'Format:': ' Hardcover'},K. S.,"This book is boring, it doesn't hold my son's attention at all. It seems like it's more for the parents, or much older children than my 2 year old. Also the pages don't match, you are reading something while your child is looking at a picture of what you read before. Doesn't make any sense to me. The only reason i gave it 2 stars is because the illustrations are pretty, but that's about all this book has going for it.",Ehhh... Boring,1312675200,8,,0.3,18.0,On the Night You Were Born
3107,0.0,0.855,0.145,0.296,5.0,False,"10 26, 2014",A2LZMD9YOXCNSP,0312346069,{'Format:': ' Board book'},Amazon Customer,Purchased from the baby registry for a new mom who is an avid reader herself.,Five Stars,1414281600,,,0.3,18.0,On the Night You Were Born
3161,0.039,0.877,0.085,0.5037,5.0,True,"07 1, 2014",A1J68ZAUF6VDME,0312346069,{'Format:': ' Board book'},Brandi,"Almost everyone I have had read this book tears up because it's so sweet.  I can't wait to read it to my baby when he arrives, and the convenient board book option means that it might actually last until he's old enough to understand what it means!",Amazing Book,1404172800,,,0.5,18.0,On the Night You Were Born
3054,0.0,0.484,0.516,0.4939,5.0,True,"02 17, 2015",A3SHYCRJ00BQ2G,0312346069,{'Format:': ' Hardcover'},frankie lawson,What an exciting time.,Five Stars,1424131200,,,0.5,18.0,On the Night You Were Born
3217,0.1,0.613,0.287,0.7003,5.0,True,"01 12, 2014",ADITZ176AWZ9O,0312346069,{'Format:': ' Board book'},Margaret  Sargis,"I bought this for my grand daughter and it was so touching, it made me cry. I hope my grand daughter keeps this book forever.",it made me cry,1389484800,,,0.7,18.0,On the Night You Were Born
2777,0.0,0.256,0.744,0.7003,4.0,True,"05 1, 2016",AL4CQEUAAWLUO,0312346069,{'Format:': ' Board book'},R. McKnight,Good book. Good quality.,Good quality book.,1462060800,,,0.7,18.0,On the Night You Were Born
2881,0.0,0.656,0.344,0.9001,5.0,True,"11 16, 2015",A2MBPK5ZBIHUYO,0312346069,{'Format:': ' Board book'},Kathy B.,What can I say... this book is sweet and heart-warming and will make you feel joy and love when reading it to your young one.,Very sweet and touching...,1447632000,,,0.9,18.0,On the Night You Were Born
2568,0.0,0.621,0.379,0.9001,5.0,True,"01 5, 2018",AEDRQB86YETTQ,0312346069,{'Format:': ' Board book'},firenze6,"An all time favorite, such a beautiful story for baby. Great to read at bedtime with its soft and sing song phrases","An all time favorite, such a beautiful story for baby",1515110400,,,0.9,18.0,On the Night You Were Born
